Concepto	ID	Semantic tag	Top	Top Rel	Similares	Palabras no contenida	% palabras contenidas	Relaciones igual 1	% igual 1	Nombres igual 1	ID 1	Relaciones igual match	% igual match	Nombres igual match	ID match	Analogias 1	Analogias 1 Lista	Analogias Sem	Analogias Sem Lista
picadura de insecto no venenoso en múltiples sitios con infección (trastorno)	428471001	trastorno	0	0	[428509000, 59443003, 45915002, 50124004, 449643001, 10461000, 89021008, 449915007, 8975004, 67974004]	0	1.0	4	1.0	[116676008, 116680003, 42752001, 363698007]	428509000	4	1.0	[116676008, 116680003, 42752001, 363698007]	428509000	[[116676008, 0], [116680003, 0], [42752001, 5], [363698007, 0]]	[[770951006, 262554006, 770925009, 262556008, 721341008, 721316001, 428128000, 262569007, 446568009, 37205004], [10461000, 89021008, 59443003, 211012003, 429305003, 771268008, 50124004, 67974004, 45915002, 449643001], [10461000, 89021008, 59443003, 211012003, 429305003, 771268008, 50124004, 67974004, 45915002, 449643001], [771273002, 51576004, 3649004, 111723007, 58221004, 473264009, 25312001, 80183002, 473260000, 67573002]]	[[116676008, 0], [116680003, 0], [42752001, 5], [363698007, 0]]	[[770951006, 262554006, 770925009, 262556008, 721341008, 721316001, 428128000, 262569007, 446568009, 37205004], [10461000, 89021008, 59443003, 211012003, 429305003, 771268008, 50124004, 67974004, 45915002, 449643001], [10461000, 89021008, 59443003, 211012003, 429305003, 771268008, 50124004, 67974004, 45915002, 449643001], [771273002, 51576004, 3649004, 111723007, 58221004, 473264009, 25312001, 80183002, 473260000, 67573002]]
taquicardia auricular postincisional (trastorno)	418493005	trastorno	0	0	[233894001, 276796006, 233892002, 195069001, 419400008, 39357005, 233893007, 708124001, 26950008, 195070000]	0	1.0	2	1.0	[116680003, 363698007]	233894001	2	1.0	[116680003, 363698007]	233894001	[[116680003, 1], [363698007, -1]]	[[276796006, 419400008, 195069001, 233892002, 195070000, 708124001, 39357005, 278482008, 713422000, 26950008], [59652004, 68786006, 35826009, 11691007, 81074001, 61942001, 450720004, 33407009, 46312003, 33626005]]	[[116680003, 1], [363698007, -1]]	[[276796006, 419400008, 195069001, 233892002, 195070000, 708124001, 39357005, 278482008, 713422000, 26950008], [59652004, 68786006, 35826009, 11691007, 81074001, 61942001, 450720004, 33407009, 46312003, 33626005]]
no bebe de una botella (hallazgo)	288997006	hallazgo	0	0	[288995003, 288994004, 300643005, 288868007, 288998001, 288415007, 288409007, 288862008, 288385003, 288867002]	0	1.0	3	1.0	[363713009, 116680003, 363714003]	288995003	3	1.0	[363713009, 116680003, 363714003]	288995003	[[363713009, -1], [116680003, 0], [363714003, 0]]	[[254163001, 288856003, 254161004, 260393009, 724837004, 373067005, 718632004, 67510007, 200977004, 288855004], [364810009, 364808007, 364826005, 364809004, 364827001, 290065008, 366346006, 365312004, 365188000, 365337009], [288993005, 284819002, 282544001, 285920001, 365060009, 466848001, 288657005, 285916000, 286128001, 288387006]]	[[363713009, -1], [116680003, 0], [363714003, 0]]	[[254163001, 288856003, 254161004, 260393009, 724837004, 373067005, 718632004, 67510007, 200977004, 288855004], [364810009, 364808007, 364826005, 364809004, 364827001, 290065008, 366346006, 365312004, 365188000, 365337009], [288993005, 284819002, 282544001, 285920001, 365060009, 466848001, 288657005, 285916000, 286128001, 288387006]]
pólipo vesical (hallazgo)	309248004	hallazgo	-1	-1	[197821004, 287717003, 67853001, 255196008, 297177003, 254588001, 29609001, 253893004, 176246007, 254880000]	0	1.0	3	1.0	[116676008, 116680003, 363698007]	197821004	0	0.0	[]	-1	[[116676008, 0], [116680003, -1], [363698007, 5]]	[[41329004, 441456002, 708795001, 51195001, 89295001, 254880000, 125558000, 62047007, 55310007, 255196008], [41329004, 441456002, 708795001, 51195001, 89295001, 254880000, 125558000, 62047007, 55310007, 255196008], [64344009, 295061002, 43380006, 84526007, 51273006, 89837001, 81036009, 279491004, 279493001, 860654002]]		
estado de angina de pecho recurrente, luego de aterectomía rotatoria (trastorno)	371811008	trastorno	0	0	[371808007, 371812001, 371810009, 371809004, 371806006, 736059007, 35928006, 233821000, 233819005, 315025001]	0	1.0	5	1.0	[116680003, 116676008, 255234002, 263502005, 363698007]	371808007	5	1.0	[116680003, 116676008, 255234002, 263502005, 363698007]	371808007	[[116680003, 0], [116676008, 0], [255234002, -1], [263502005, 5], [363698007, -1]]	[[194828000, 35928006, 371806006, 233819005, 371807002, 61490001, 59021001, 29857009, 41334000, 91020005], [449735000, 102943000, 192073007, 385634002, 229726002, 61921000119107, 735392002, 263703002, 386431006, 170721002], [24088005, 371854003, 415069007, 709981002, 397193006, 465631000, 429816003, 232729000, 232728008, 405411002], [732626006, 87217001, 262200008, 59562003, 29536009, 255227004, 735598004, 26063000, 31766005, 60259009], [56459004, 2402003, 362887000, 301894008, 84167007, 67240005, 22335008, 773820004, 773818002, 361292008]]	[[116680003, 0], [116676008, 0], [255234002, -1], [263502005, 5], [363698007, -1]]	[[194828000, 35928006, 371806006, 233819005, 371807002, 61490001, 59021001, 29857009, 41334000, 91020005], [449735000, 102943000, 192073007, 385634002, 229726002, 61921000119107, 735392002, 263703002, 386431006, 170721002], [24088005, 371854003, 415069007, 709981002, 397193006, 465631000, 429816003, 232729000, 232728008, 405411002], [732626006, 87217001, 262200008, 59562003, 29536009, 255227004, 735598004, 26063000, 31766005, 60259009], [56459004, 2402003, 362887000, 301894008, 84167007, 67240005, 22335008, 773820004, 773818002, 361292008]]
estudio para la determinación de la supervivencia de los glóbulos rojos con secuestro hepática y esplénica (procedimiento)	61361006	procedimiento	0	0	[28337005, 3620007, 245911009, 244981007, 95846001, 365620009, 2051007, 365619003, 104151002, 70268007]	0	1.0	4	1.0	[116680003, 260686004, 424361007, 405813007]	28337005	4	1.0	[116680003, 260686004, 424361007, 405813007]	28337005	[[116680003, 2], [260686004, 0], [424361007, 0], [405813007, 0]]	[[245911009, 244981007, 3620007, 28337005, 50621006, 7656009, 70268007, 12341000, 252466004, 81937003], [312421008, 360037004, 45588000, 765030005, 129331004, 765308004, 432095006, 386550008, 399035005, 710312009], [89457008, 708552003, 3342004, 33638001, 765030005, 40670003, 3816006, 269800003, 19186008, 765252005], [78961009, 303270005, 35819009, 3302009, 22083002, 20004003, 8993003, 726667009, 84318003, 12254005]]	[[116680003, 2], [260686004, 0], [424361007, 0], [405813007, 0]]	[[245911009, 244981007, 3620007, 28337005, 50621006, 7656009, 70268007, 12341000, 252466004, 81937003], [312421008, 360037004, 45588000, 765030005, 129331004, 765308004, 432095006, 386550008, 399035005, 710312009], [89457008, 708552003, 3342004, 33638001, 765030005, 40670003, 3816006, 269800003, 19186008, 765252005], [78961009, 303270005, 35819009, 3302009, 22083002, 20004003, 8993003, 726667009, 84318003, 12254005]]
medición de inmunoglobulina G anticardiolipinas (procedimiento)	312402000	procedimiento	0	0	[165868003, 45293001, 414454008, 104378005, 312401007, 104387001, 104379002, 45764000, 42441008, 104386005]	0	1.0	3	1.0	[246093002, 116680003, 260686004]	165868003	3	1.0	[246093002, 116680003, 260686004]	165868003	[[246093002, 0], [116680003, 0], [260686004, 0]]	[[45396006, 11825009, 68498002, 121132002, 121153006, 121151008, 74002006, 120797008, 407065007, 28673005], [65946008, 313614008, 413768005, 3527003, 104328008, 165891004, 55605003, 117724005, 166008006, 113057004], [129266000, 129265001, 129325002, 129264002, 129408000, 256644001, 129286001, 424832003, 129376004, 129410003]]	[[246093002, 0], [116680003, 0], [260686004, 0]]	[[45396006, 11825009, 68498002, 121132002, 121153006, 121151008, 74002006, 120797008, 407065007, 28673005], [65946008, 313614008, 413768005, 3527003, 104328008, 165891004, 55605003, 117724005, 166008006, 113057004], [129266000, 129265001, 129325002, 129264002, 129408000, 256644001, 129286001, 424832003, 129376004, 129410003]]
aumento primario intrarticular a cielo abierto de ligamento intrarticular con prótesis (procedimiento)	179797002	procedimiento	0	0	[179799004, 179800000, 179802008, 179801001, 179736008, 179769008, 179737004, 179738009, 179751004, 179748006]	0	1.0	5	1.0	[116680003, 405813007, 246513007, 260686004, 260507000]	179799004	5	1.0	[116680003, 405813007, 246513007, 260686004, 260507000]	179799004	[[116680003, 0], [405813007, 0], [246513007, 0], [260686004, 0], [260507000, 0]]	[[307812002, 443185005, 179886008, 265205006, 179789009, 261388004, 450776007, 261499003, 179876007, 235194000], [52082005, 91192009, 7936005, 2905008, 28892005, 77638007, 79393002, 62181004, 41933003, 113243005], [261424001, 255581000, 178178003, 178169009, 179522000, 83176005, 80341003, 201841000, 201839001, 405713000], [257903006, 439237009, 830059000, 129426002, 425362007, 410817004, 278312000, 129374001, 129377008, 129284003], [129236007, 260611004, 334835009, 175863008, 450643004, 265350006, 711454001, 175755001, 173628002, 173064000]]	[[116680003, 0], [405813007, 0], [246513007, 0], [260686004, 0], [260507000, 0]]	[[307812002, 443185005, 179886008, 265205006, 179789009, 261388004, 450776007, 261499003, 179876007, 235194000], [52082005, 91192009, 7936005, 2905008, 28892005, 77638007, 79393002, 62181004, 41933003, 113243005], [261424001, 255581000, 178178003, 178169009, 179522000, 83176005, 80341003, 201841000, 201839001, 405713000], [257903006, 439237009, 830059000, 129426002, 425362007, 410817004, 278312000, 129374001, 129377008, 129284003], [129236007, 260611004, 334835009, 175863008, 450643004, 265350006, 711454001, 175755001, 173628002, 173064000]]
color constitucional de la piel, blanca pálida (hallazgo)	403237004	hallazgo	0	0	[403242007, 403238009, 403243002, 403239001, 403241000, 403240004, 402607006, 445394005, 364536005, 702756006]	0	1.0	3	1.0	[116680003, 363714003, 363698007]	403242007	3	1.0	[116680003, 363714003, 363698007]	403242007	[[116680003, 0], [363714003, -1], [363698007, 0]]	[[402607006, 38962007, 297949006, 46690002, 106076001, 128042009, 297976006, 297947008, 238907001, 225547008], [70582006, 21672008, 119181002, 34319007, 95324001, 244081009, 22047006, 31459005, 238907001, 4658004], [39937001, 4658004, 66288003, 21672008, 22180002, 75160005, 286591006, 40207008, 51027004, 119181002]]	[[116680003, 0], [363714003, -1], [363698007, 0]]	[[402607006, 38962007, 297949006, 46690002, 106076001, 128042009, 297976006, 297947008, 238907001, 225547008], [70582006, 21672008, 119181002, 34319007, 95324001, 244081009, 22047006, 31459005, 238907001, 4658004], [39937001, 4658004, 66288003, 21672008, 22180002, 75160005, 286591006, 40207008, 51027004, 119181002]]
cloruro de dodecarbonio (sustancia)	18566008	sustancia	0	0	[126147005, 301714004, 4616002, 2799001, 73559008, 80492007, 80706004, 29522004, 417063009, 26926006]	0	1.0	2	0.6667	[116680003, 726542003]	126147005	2	0.6667	[116680003, 726542003]	126147005	[[116680003, 8], [726542003, 0]]	[[373698008, 417926003, 419963001, 108659006, 350269002, 294436003, 350273004, 350272009, 301712000, 292896005], [734808009, 373697003, 418387003, 734809001, 422248006, 734549002, 418796001, 734810006, 467900005, 292895009]]	[[116680003, 8], [726542003, 0]]	[[373698008, 417926003, 419963001, 108659006, 350269002, 294436003, 350273004, 350272009, 301712000, 292896005], [734808009, 373697003, 418387003, 734809001, 422248006, 734549002, 418796001, 734810006, 467900005, 292895009]]
hiperlipemia exógena (trastorno)	129590000	trastorno	0	0	[410041002, 129589009, 125376006, 402725005, 426161002, 402620009, 817956002, 402785008, 402727002, 114831000119107]	0	1.0	1	0.3333	[116680003]	410041002	1	0.3333	[116680003]	410041002	[[116680003, -1]]	[[40449001, 402725005, 86531000119105, 247131008, 289273003, 247157006, 193885005, 445261005, 402727002, 247155003]]	[[116680003, -1]]	[[40449001, 402725005, 86531000119105, 247131008, 289273003, 247157006, 193885005, 445261005, 402727002, 247155003]]
sensación de chasquido en el oído (hallazgo)	162346006	hallazgo	0	0	[53218004, 724235002, 103281005, 445178008, 366095002, 713833008, 762397008, 81910000, 162354008, 162353002]	0	1.0	2	1.0	[116680003, 363698007]	53218004	2	1.0	[116680003, 363698007]	53218004	[[116680003, -1], [363698007, 0]]	[[247234006, 290116001, 301213009, 299902004, 289841000, 276435006, 301194006, 300500006, 300090008, 300565003], [117590005, 22945000, 25342003, 300850006, 1902009, 41845008, 28347008, 25577004, 89644007, 778041007]]	[[116680003, -1], [363698007, 0]]	[[247234006, 290116001, 301213009, 299902004, 289841000, 276435006, 301194006, 300500006, 300090008, 300565003], [117590005, 22945000, 25342003, 300850006, 1902009, 41845008, 28347008, 25577004, 89644007, 778041007]]
estructura de fascia plantar de pie derecho (estructura corporal)	722743007	estructura corporal	0	0	[722744001, 15632091000119101, 15632051000119106, 16819541000119108, 16819501000119106, 220023008, 770920004, 770919005, 737577000, 737576009]	0	1.0	2	1.0	[116680003, 272741003]	722744001	2	1.0	[116680003, 272741003]	722744001	[[116680003, 0], [272741003, 0]]	[[220023008, 722744001, 67741005, 372225004, 15632091000119101, 15632051000119106, 13821009, 22652000, 13370002, 432245000], [24028007, 7771000, 51440002, 277593009, 277594003, 19801004, 21834000, 264176005, 264065008, 263795004]]	[[116680003, 0], [272741003, 0]]	[[220023008, 722744001, 67741005, 372225004, 15632091000119101, 15632051000119106, 13821009, 22652000, 13370002, 432245000], [24028007, 7771000, 51440002, 277593009, 277594003, 19801004, 21834000, 264176005, 264065008, 263795004]]
odontohipofosfatasia (trastorno)	708672004	trastorno	0	0	[190859005, 56811006, 190860000, 55236002, 91632005, 20756002, 4996001, 30174008, 237888005, 710208001]	0	1.0	2	1.0	[246454002, 116680003]	190859005	2	1.0	[246454002, 116680003]	190859005	[[246454002, 0], [116680003, -1]]	[[255399007, 102283003, 109515000, 62344005, 12458006, 32958008, 72855002, 254154003, 698615007, 700257009], [237879001, 87049008, 71638002, 60853003, 237963003, 35019008, 30913008, 137791000119100, 16754006, 190724004]]	[[246454002, 0], [116680003, -1]]	[[255399007, 102283003, 109515000, 62344005, 12458006, 32958008, 72855002, 254154003, 698615007, 700257009], [237879001, 87049008, 71638002, 60853003, 237963003, 35019008, 30913008, 137791000119100, 16754006, 190724004]]
